bucket_id	reason	seed_count	raw_profile_count	raw_profile_bytes	bucket_profdata	cumulative_profdata	warning_count	merge_log
1	periodic_restart	200	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000001.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000001.merge.log
2	periodic_restart	400	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000002.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000002.merge.log
3	periodic_restart	600	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000003.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000003.merge.log
4	periodic_restart	800	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000004.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000004.merge.log
5	periodic_restart	1000	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000005.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000005.merge.log
6	periodic_restart	1200	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000006.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000006.merge.log
7	periodic_restart	1400	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000007.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000007.merge.log
8	periodic_restart	1600	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000008.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000008.merge.log
9	periodic_restart	1800	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000009.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000009.merge.log
10	periodic_restart	2000	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000010.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000010.merge.log
11	periodic_restart	2200	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000011.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000011.merge.log
12	periodic_restart	2400	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000012.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000012.merge.log
13	periodic_restart	2600	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000013.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000013.merge.log
14	periodic_restart	2800	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000014.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000014.merge.log
15	periodic_restart	3000	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000015.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000015.merge.log
16	periodic_restart	3200	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000016.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000016.merge.log
17	periodic_restart	3400	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000017.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000017.merge.log
18	periodic_restart	3600	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000018.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000018.merge.log
19	periodic_restart	3800	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000019.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000019.merge.log
20	periodic_restart	4000	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000020.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000020.merge.log
21	periodic_restart	4200	351	325584344	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000021.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000021.merge.log
22	periodic_restart	4400	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000022.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000022.merge.log
23	periodic_restart	4600	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000023.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000023.merge.log
24	periodic_restart	4800	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000024.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000024.merge.log
25	periodic_restart	5000	352	326522840	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000025.profdata	/rq2_out/profdata/sqleek_mysql_r1_current.cumulative.profdata	0	/rq2_out/profdata/buckets/sqleek_mysql_r1_current_bucket_000025.merge.log
